emp_no,dept_no,from_date,to_date
10501,d017,2019-06-15,9999-01-01
10502,d017,2009-12-08,9999-01-01
10503,d018,1980-08-19,9999-01-01
10504,d013,2017-03-17,9999-01-01
10505,d012,2020-01-01,2007-03-03
10506,d019,2006-10-08,9999-01-01
10507,d016,1983-10-15,9999-01-01
10508,d018,2010-08-22,9999-01-01
10509,d016,1986-10-24,9999-01-01
10510,d016,1993-02-05,9999-01-01
10511,d018,2006-08-20,9999-01-01
10512,d013,2018-09-26,9999-01-01
10513,d013,2007-06-08,9999-01-01
10514,d014,2005-08-11,9999-01-01
10515,d014,1990-08-23,9999-01-01
10516,d018,2009-04-20,9999-01-01
10517,d012,2003-04-19,9999-01-01
10518,d010,2007-09-14,9999-01-01
10519,d018,2007-09-10,9999-01-01
10520,d017,2018-09-08,9999-01-01
10521,d013,1991-11-16,9999-01-01
10522,d019,1985-05-07,9999-01-01
10523,d010,1987-11-08,9999-01-01
10524,d014,2019-02-26,9999-01-01
10525,d018,2013-09-03,9999-01-01
10526,d011,2012-07-24,2009-07-09
10527,d014,1999-01-15,9999-01-01
10528,d014,2000-12-31,9999-01-01
10529,d015,2021-07-17,2000-05-09
10530,d014,2008-12-14,9999-01-01
10531,d015,2008-03-23,9999-01-01
10532,d019,2021-04-21,9999-01-01
10533,d014,2021-08-19,2014-07-20
10534,d010,1995-10-07,9999-01-01
10535,d018,2009-06-25,9999-01-01
10536,d011,2014-05-19,9999-01-01
10537,d010,1998-12-12,9999-01-01
10538,d017,1980-02-28,9999-01-01
10539,d016,2019-10-05,9999-01-01
10540,d012,2014-03-27,9999-01-01
10541,d018,2008-08-15,9999-01-01
10542,d013,1981-03-30,9999-01-01
10543,d011,1984-06-18,9999-01-01
10544,d016,1984-03-10,9999-01-01
10545,d012,2021-08-03,9999-01-01
10546,d014,1998-09-30,9999-01-01
10547,d014,1987-03-05,9999-01-01
10548,d015,2002-11-15,9999-01-01
10549,d017,2001-04-24,9999-01-01
10550,d014,1985-08-31,9999-01-01
10551,d015,1995-01-10,9999-01-01
10552,d016,1987-05-27,9999-01-01
10553,d015,1999-04-08,9999-01-01
10554,d017,2009-12-23,9999-01-01
10555,d018,2019-07-28,9999-01-01
10556,d019,2018-01-18,9999-01-01
10557,d010,2018-03-27,9999-01-01
10558,d019,1985-01-04,9999-01-01
10559,d018,1983-10-10,2008-05-15
10560,d015,2010-04-07,9999-01-01
10561,d014,1989-09-08,2016-06-01
10562,d017,1982-06-11,9999-01-01
10563,d015,1998-12-08,2020-01-04
10564,d015,2009-09-20,9999-01-01
10565,d014,1986-10-19,9999-01-01
10566,d014,1983-02-02,9999-01-01
10567,d010,2007-04-21,2020-05-30
10568,d013,2008-04-19,9999-01-01
10569,d012,2020-11-11,2017-01-16
10570,d011,2022-12-03,9999-01-01
10571,d011,1984-06-28,2008-10-20
10572,d013,2000-12-03,9999-01-01
10573,d016,1988-12-10,9999-01-01
10574,d011,2020-06-03,9999-01-01
10575,d012,2012-04-14,9999-01-01
10576,d014,1991-08-11,9999-01-01
10577,d016,1994-04-07,9999-01-01
10578,d019,1989-04-29,9999-01-01
10579,d019,2019-09-20,9999-01-01
10580,d015,1988-11-11,9999-01-01
10581,d010,1991-07-15,9999-01-01
10582,d010,2005-10-05,9999-01-01
10583,d015,2001-03-20,9999-01-01
10584,d014,2007-10-30,9999-01-01
10585,d018,1995-07-25,9999-01-01
10586,d010,1981-12-29,9999-01-01
10587,d013,1990-05-09,9999-01-01
10588,d014,1982-08-10,9999-01-01
10589,d016,2003-11-07,9999-01-01
10590,d012,1985-02-25,9999-01-01
10591,d010,2015-08-22,2017-04-29
10592,d018,2008-05-23,9999-01-01
10593,d019,2018-08-11,2015-07-20
10594,d010,1985-01-14,9999-01-01
10595,d013,2011-02-12,9999-01-01
10596,d013,1983-07-06,9999-01-01
10597,d012,2019-05-29,2021-09-16
10598,d011,2007-12-19,9999-01-01
10599,d011,2017-10-06,2001-03-02
10600,d018,1994-02-19,9999-01-01
