emp_no,dept_no,from_date,to_date
10451,d010,1989-01-02,9999-01-01
10452,d011,1991-10-18,9999-01-01
10453,d012,1995-12-17,9999-01-01
10454,d013,1989-04-27,9999-01-01
10455,d014,1997-11-21,9999-01-01
10456,d015,1998-09-14,9999-01-01
10457,d016,1995-10-17,9999-01-01
10458,d017,1992-08-27,9999-01-01
10459,d018,1995-03-18,9999-01-01
10460,d019,1996-12-14,9999-01-01
10461,d020,1988-07-02,9999-01-01
10462,d021,1987-04-01,9999-01-01
10463,d022,1988-06-01,9999-01-01
10464,d023,1989-06-16,9999-01-01
10465,d024,1997-01-05,9999-01-01
10466,d010,1985-05-12,9999-01-01
10467,d011,1997-01-12,9999-01-01
10468,d012,1986-01-27,9999-01-01
10469,d013,1992-11-19,9999-01-01
10470,d014,1998-05-11,9999-01-01
10471,d015,1999-06-28,9999-01-01
10472,d016,1985-03-10,9999-01-01
10473,d017,1992-04-26,9999-01-01
10474,d018,1988-12-10,9999-01-01
10475,d019,1994-01-05,9999-01-01
10476,d020,1990-07-13,9999-01-01
10477,d021,1994-01-05,9999-01-01
10478,d022,1991-07-27,9999-01-01
10479,d023,1991-03-09,9999-01-01
10480,d024,1988-10-12,9999-01-01
10481,d010,1995-08-28,9999-01-01
10482,d011,1985-05-26,9999-01-01
10483,d012,1993-06-28,9999-01-01
10484,d013,1990-12-21,9999-01-01
10485,d014,1985-12-16,9999-01-01
10486,d015,1993-10-08,9999-01-01
10487,d016,1988-08-06,9999-01-01
10488,d017,1994-05-25,9999-01-01
10489,d018,1987-03-07,9999-01-01
10490,d019,1988-03-04,9999-01-01
10491,d020,1996-08-20,9999-01-01
10492,d021,1993-04-18,9999-01-01
10493,d022,1992-07-15,9999-01-01
10494,d023,1991-07-21,9999-01-01
10495,d024,1999-10-14,9999-01-01
10496,d010,1986-02-11,9999-01-01
10497,d011,1993-07-23,9999-01-01
10498,d012,1994-06-07,9999-01-01
10499,d013,1998-07-11,9999-01-01
10500,d014,1991-11-15,9999-01-01
10501,d015,1990-05-19,9999-01-01
10502,d016,1988-01-19,9999-01-01
10503,d017,1988-07-31,9999-01-01
10504,d018,1989-09-07,9999-01-01
10505,d019,1986-12-17,9999-01-01
10506,d020,1990-10-11,9999-01-01
10507,d021,1991-04-25,9999-01-01
10508,d022,1990-02-13,9999-01-01
10509,d023,1996-05-29,9999-01-01
10510,d024,1989-06-26,9999-01-01
10511,d010,1988-10-21,9999-01-01
10512,d011,1986-08-24,9999-01-01
10513,d012,1989-07-01,9999-01-01
10514,d013,1986-09-22,9999-01-01
10515,d014,1997-02-12,9999-01-01
10516,d015,1992-08-05,9999-01-01
10517,d016,1994-07-20,9999-01-01
10518,d017,1993-10-09,9999-01-01
10519,d018,1998-01-07,9999-01-01
10520,d019,1997-02-23,9999-01-01
10521,d020,1987-06-13,9999-01-01
10522,d021,1986-08-10,9999-01-01
10523,d022,1991-11-10,9999-01-01
10524,d023,1999-03-27,9999-01-01
10525,d024,1991-08-29,9999-01-01
10526,d010,1996-05-16,9999-01-01
10527,d011,1997-03-14,9999-01-01
10528,d012,1997-11-08,9999-01-01
10529,d013,1987-03-28,9999-01-01
10530,d014,1991-01-28,9999-01-01
10531,d015,1992-09-08,9999-01-01
10532,d016,1988-04-13,9999-01-01
10533,d017,1987-04-13,9999-01-01
10534,d018,1991-05-29,9999-01-01
10535,d019,1997-07-26,9999-01-01
10536,d020,1987-09-01,9999-01-01
10537,d021,1988-12-10,9999-01-01
10538,d022,1992-02-19,9999-01-01
10539,d023,1996-12-30,9999-01-01
10540,d024,1997-02-06,9999-01-01
10541,d010,1995-01-21,9999-01-01
10542,d011,1999-03-30,9999-01-01
10543,d012,1996-06-17,9999-01-01
10544,d013,1994-06-01,9999-01-01
10545,d014,1993-12-05,9999-01-01
10546,d015,1996-07-30,9999-01-01
10547,d016,1998-12-18,9999-01-01
10548,d017,1997-02-10,9999-01-01
10549,d018,1998-07-04,9999-01-01
10550,d019,1994-07-31,9999-01-01
10551,d020,1987-06-13,1990-01-01
10552,d021,1986-08-10,1991-01-01
10553,d022,1991-11-10,1992-01-01
10554,d023,1999-03-27,1993-01-01
10555,d024,1991-08-29,1994-01-01
10556,d010,1996-05-16,1995-01-01
10557,d011,1997-03-14,1996-01-01
10558,d012,1997-11-08,1997-01-01
10559,d013,1987-03-28,1998-01-01
10560,d014,1991-01-28,1999-01-01
10561,d015,1992-09-08,2000-01-01
10562,d016,1988-04-13,2001-01-01
10563,d017,1987-04-13,2002-01-01
10564,d018,1991-05-29,2003-01-01
10565,d019,1997-07-26,2004-01-01
10566,d020,1987-09-01,2005-01-01
10567,d021,1988-12-10,2006-01-01
10568,d022,1992-02-19,2007-01-01
10569,d023,1996-12-30,2008-01-01
10570,d024,1997-02-06,2009-01-01
