dept_no,dept_name
d008,Human Resources Department
d009,Accounting and Finance Division
d010,Marketing and Sales Office
d011,Information Technology Sector
d012,Executive Board Room
d013,Legal Services Team
d014,Customer Support Wing
d015,Medical Benefits Sector
d016,Payroll Division
d017,Operations Unit
d018,R&D Laboratory
d019,IT Help Desk Cell
d020,Public Relations Branch
d021,Security and Safety Division
d022,Legal Advisory Council
d023,Business Development Team
d024,HR Recruitment Office
d025,Finance and Audit Department
d026,Sales and Marketing Division
d027,IT Development Center
d028,Legal Operations Office
d029,Customer Experience Bureau
d030,Health and Wellness Committee
d031,Administrative Zone
d032,Main Framework Team
